# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"2563479","2023-03-08 21:47:33","http://1.70.160.42:42518/bin.sh","offline","None","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2563479/","geenensp"
"2563478","2023-03-08 21:47:29","http://117.195.86.233:46553/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563478/","geenensp"
"2563477","2023-03-08 21:47:21","http://182.114.12.156:49665/i","offline","2023-03-09 00:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563477/","geenensp"
"2563476","2023-03-08 21:44:16","http://112.248.154.217:40865/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563476/","geenensp"
"2563475","2023-03-08 21:41:12","http://182.118.137.241:46121/bin.sh","offline","2023-03-09 00:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563475/","geenensp"
"2563474","2023-03-08 21:38:25","http://59.88.234.205:56935/bin.sh","online","None","malware_download",",32-bit,elf,mips","https://urlhaus.abuse.ch/url/2563474/","geenensp"
"2563473","2023-03-08 21:38:17","http://115.58.85.197:58341/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563473/","geenensp"
"2563472","2023-03-08 21:37:40","http://113.118.118.208:36153/mozi.m","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563472/","tammeto"
"2563471","2023-03-08 21:37:13","http://113.26.155.88:24831/.i","online","None","malware_download","hajime","https://urlhaus.abuse.ch/url/2563471/","geenensp"
"2563470","2023-03-08 21:36:39","http://61.52.77.242:48712/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563470/","lrz_urlhaus"
"2563469","2023-03-08 21:36:38","http://211.92.119.190:45672/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563469/","lrz_urlhaus"
"2563468","2023-03-08 21:36:33","http://113.77.38.95:59363/i","offline","2023-03-09 01:XX:XX","malware_download",",32-bit,elf,mips","https://urlhaus.abuse.ch/url/2563468/","geenensp"
"2563467","2023-03-08 21:35:41","http://182.119.188.136:47606/Mozi.m","offline","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563467/","lrz_urlhaus"
"2563466","2023-03-08 21:35:07","http://42.231.187.235:37652/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563466/","geenensp"
"2563465","2023-03-08 21:33:23","http://123.172.82.27:39452/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563465/","geenensp"
"2563464","2023-03-08 21:28:40","http://27.38.122.38:34159/i","offline","2023-03-09 01:XX:XX","malware_download","32-bit,elf,mips,mirai,Mozi","https://urlhaus.abuse.ch/url/2563464/","geenensp"
"2563463","2023-03-08 21:25:20","http://115.56.173.235:37912/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563463/","geenensp"
"2563462","2023-03-08 21:21:34","http://112.247.81.88:41927/i","offline","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563462/","geenensp"
"2563461","2023-03-08 21:20:41","http://112.248.154.217:40865/bin.sh","offline","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563461/","geenensp"
"2563459","2023-03-08 21:20:30","http://123.10.60.235:58783/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563459/","lrz_urlhaus"
"2563460","2023-03-08 21:20:30","http://42.228.251.41:58205/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563460/","lrz_urlhaus"
"2563458","2023-03-08 21:20:26","http://175.0.237.242:59777/Mozi.a","offline","2023-03-09 00:XX:XX","malware_download","elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563458/","lrz_urlhaus"
"2563457","2023-03-08 21:19:23","http://182.114.12.156:49665/bin.sh","offline","2023-03-08 22:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563457/","geenensp"
"2563456","2023-03-08 21:19:18","http://117.217.155.11:46227/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563456/","lrz_urlhaus"
"2563455","2023-03-08 21:16:31","http://117.255.178.209:34906/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563455/","geenensp"
"2563454","2023-03-08 21:13:12","https://miyyf.world/java/centos/33940/10032b.exe","online","None","malware_download","Amadey,dropped-by-PrivateLoader,RedLine","https://urlhaus.abuse.ch/url/2563454/","andretavare5"
"2563453","2023-03-08 21:09:16","http://107.174.45.14/570/vbc.exe","offline","2023-03-08 21:XX:XX","malware_download","exe,Loki,opendir","https://urlhaus.abuse.ch/url/2563453/","abuse_ch"
"2563452","2023-03-08 21:09:15","http://45.166.117.12:58368/i","online","None","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563452/","geenensp"
"2563451","2023-03-08 21:09:12","http://103.167.84.121/590/vbc.exe","offline","2023-03-08 23:XX:XX","malware_download","exe,Loki,opendir","https://urlhaus.abuse.ch/url/2563451/","abuse_ch"
"2563449","2023-03-08 21:09:06","http://192.3.101.160/708/vbc.exe","online","None","malware_download","AgentTesla,exe,opendir","https://urlhaus.abuse.ch/url/2563449/","abuse_ch"
"2563450","2023-03-08 21:09:06","http://23.94.99.117/3591/vbc.exe","online","None","malware_download","exe,opendir,rat,RemcosRAT","https://urlhaus.abuse.ch/url/2563450/","abuse_ch"
"2563448","2023-03-08 21:09:05","http://192.3.101.160/709/vbc.exe","online","None","malware_download","AgentTesla,exe,opendir","https://urlhaus.abuse.ch/url/2563448/","abuse_ch"
"2563447","2023-03-08 21:08:13","http://103.167.92.45/kung/GG18.exe","offline","2023-03-09 01:XX:XX","malware_download","exe,Loki,opendir","https://urlhaus.abuse.ch/url/2563447/","abuse_ch"
"2563446","2023-03-08 21:06:13","http://somel.duckdns.org/xawn/610.txt","online","None","malware_download","None","https://urlhaus.abuse.ch/url/2563446/","abuse_ch"
"2563445","2023-03-08 21:06:12","http://kimikonadia.duckdns.org/lzba/nadiia.hta","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563445/","abuse_ch"
"2563443","2023-03-08 21:06:08","http://kimikonadia.duckdns.org/lzba/Protected.exe","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563443/","abuse_ch"
"2563444","2023-03-08 21:06:08","http://hosting2022private.duckdns.org/knpx/2.dat","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563444/","abuse_ch"
"2563441","2023-03-08 21:06:03","http://privatesecured.duckdns.org/ciyv/svhosts.bat","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563441/","abuse_ch"
"2563442","2023-03-08 21:06:03","http://179.43.175.187/rakb/1.dat","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563442/","abuse_ch"
"2563440","2023-03-08 21:06:02","http://179.43.175.187/ksjy/SkillzBoss77.hta","offline","None","malware_download","None","https://urlhaus.abuse.ch/url/2563440/","abuse_ch"
"2563439","2023-03-08 21:05:41","http://125.44.9.148:49388/Mozi.m","offline","2023-03-09 00:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563439/","lrz_urlhaus"
"2563438","2023-03-08 21:05:19","http://117.223.94.132:45664/Mozi.m","online","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563438/","lrz_urlhaus"
"2563436","2023-03-08 21:04:40","http://112.242.95.201:42959/Mozi.m","offline","None","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563436/","lrz_urlhaus"
"2563437","2023-03-08 21:04:40","http://112.248.102.163:50015/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563437/","lrz_urlhaus"
"2563435","2023-03-08 21:04:34","http://115.61.107.114:33026/Mozi.m","offline","2023-03-09 01:XX:XX","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/2563435/","lrz_urlhaus"
"2563434","2023-03-08 21:03:40","http://219.155.104.189:43734/Mozi.m","offline","None","malware_download","Mozi","https://urlhaus.abuse.ch/url/2563434/","Gandylyan1"
"2563433","2023-03-08 21:03:39","http://111.92.22.69:35131/Mozi.m","offline","None","malware_download","Mozi","https://urlhaus.abuse.ch/url/2563433/","Gandylyan1"
"2563432","2023-03-08 21:03:33","http://112.248.83.21:52028/Mozi.m","offline","None","malware_download","Mozi","https://urlhaus.abuse.ch/url/2563432/","Gandylyan1"
"2563431","2023-03-08 21:03:05","http://61.53.48.11:35871/Mozi.m","offline","2023-03-08 23:XX:XX","malware_download","Mozi","https://urlhaus.abuse.ch/url/2563431/","Gandylyan1"
"2563430","2023-03-08 21:02:26","http://221.232.241.100:37998/i","offline","2023-03-08 23:XX:XX","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/2563430/","geenensp"
"2563429","2023-03-08 21:02:25","http://115.56.173.235:37912/bin.sh","offline","2023-03-08 21:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563429/","geenensp"
"2563428","2023-03-08 20:58:06","http://77.91.78.17/DefendUpdate.exe","online","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563428/","abuse_ch"
"2563427","2023-03-08 20:58:04","http://179.43.175.187/ksjy/FUND.exe","offline","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563427/","abuse_ch"
"2563426","2023-03-08 20:57:19","http://69.57.99.8:40987/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563426/","geenensp"
"2563425","2023-03-08 20:57:04","http://77.91.78.17/ChromeFIX_error.exe","online","None","malware_download","exe,RedLineStealer","https://urlhaus.abuse.ch/url/2563425/","abuse_ch"
"2563424","2023-03-08 20:56:34","http://119.184.46.140:42029/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563424/","geenensp"
"2563423","2023-03-08 20:56:16","http://115.58.85.197:58341/bin.sh","offline","2023-03-09 00:XX:XX","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2563423/","geenensp"
"2563422","2023-03-08 20:56:11","http://ji.jjhia6gy89ee.com/m/ss37.exe","online","None","malware_download","exe","https://urlhaus.abuse.ch/url/2563422/","abuse_ch"
